id,name,state,district_id,party,phone,committee_assignments,website,created_at
188,"Huffman, Jared",California,02,D,(202) 225-5161,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov/,2025-03-13 10:18:19.974899
189,"Huizenga, Bill",Michigan,04,R,(202) 225-4401,Financial Services|Foreign Affairs,https://huizenga.house.gov/,2025-03-13 10:18:19.975738
190,"Hunt, Wesley",Texas,38,R,(202) 225-5646,Natural Resources|Judiciary,https://hunt.house.gov/,2025-03-13 10:18:19.976542
191,"Hurd, Jeff",Colorado,03,R,(202) 225-4676,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://hurd.house.gov/,2025-03-13 10:18:19.977344
192,"Issa, Darrell",California,48,R,(202) 225-5672,"Foreign Affairs|Judiciary|Science, Space, and Technology",https://issa.house.gov/,2025-03-13 10:18:19.978152
193,"Ivey, Glenn",Maryland,04,D,(202) 225-8699,Appropriations,https://ivey.house.gov/,2025-03-13 10:18:19.978987
194,"Jack, Brian",Georgia,03,R,(202) 225-5901,Oversight and Government Reform|Rules|Small Business,https://jack.house.gov/,2025-03-13 10:18:19.979911
195,"Jackson, Jonathan",Illinois,01,D,(202) 225-4372,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov/,2025-03-13 10:18:19.980762
196,"Jackson, Ronny",Texas,13,R,(202) 225-3706,Agriculture|Armed Services|Foreign Affairs|Intelligence,https://jackson.house.gov/,2025-03-13 10:18:19.981551
197,"Jacobs, Sara",California,51,D,(202) 225-2040,Armed Services|Foreign Affairs,https://sarajacobs.house.gov/,2025-03-13 10:18:19.982371
198,"James, John",Michigan,10,R,(202) 225-4961,Energy and Commerce,https://james.house.gov/,2025-03-13 10:18:19.983202
199,"Jayapal, Pramila",Washington,07,D,(202) 225-3106,Budget|Foreign Affairs|Judiciary,https://jayapal.house.gov/,2025-03-13 10:18:19.984054
200,"Jeffries, Hakeem",New York,08,D,(202) 225-5936,"",https://jeffries.house.gov/,2025-03-13 10:18:19.984836
201,"Johnson, Dusty",South Dakota,At Large,R,(202) 225-2801,Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://dustyjohnson.house.gov/,2025-03-13 10:18:19.985923
202,"Johnson, Henry",Georgia,04,D,(202) 225-1605,Judiciary|Transportation and Infrastructure,https://hankjohnson.house.gov/,2025-03-13 10:18:19.986763
203,"Johnson, Julie",Texas,32,D,(202) 225-2231,Foreign Affairs|House Administration|Homeland Security,https://juliejohnson.house.gov/,2025-03-13 10:18:19.987664
204,"Johnson, Mike",Louisiana,04,R,(202) 225-2777,"",https://mikejohnson.house.gov/,2025-03-13 10:18:19.988492
205,"Jordan, Jim",Ohio,04,R,(202) 225-2676,Oversight and Government Reform|Judiciary,https://jordan.house.gov/,2025-03-13 10:18:19.989325
206,"Joyce, David",Ohio,14,R,(202) 225-5731,Appropriations,https://joyce.house.gov/,2025-03-13 10:18:19.990106
207,"Joyce, John",Pennsylvania,13,R,(202) 225-2431,Energy and Commerce,https://johnjoyce.house.gov/,2025-03-13 10:18:19.990935
208,"Kamlager-Dove, Sydney",California,37,D,(202) 225-7084,Foreign Affairs|Judiciary,https://kamlager-dove.house.gov/,2025-03-13 10:18:19.991715
209,"Kaptur, Marcy",Ohio,09,D,(202) 225-4146,Appropriations|Budget,https://kaptur.house.gov/,2025-03-13 10:18:19.992648
210,"Kean, Thomas",New Jersey,07,R,(202) 225-5361,Foreign Affairs|Energy and Commerce,https://kean.house.gov/,2025-03-13 10:18:19.993441
211,"Keating, William",Massachusetts,09,D,(202) 225-3111,Armed Services|Foreign Affairs,https://keating.house.gov/,2025-03-13 10:18:19.994225
212,"Kelly, Mike",Pennsylvania,16,R,(202) 225-5406,Ways and Means,https://kelly.house.gov/,2025-03-13 10:18:19.995026
213,"Kelly, Robin",Illinois,02,D,(202) 225-0773,Energy and Commerce,https://robinkelly.house.gov/,2025-03-13 10:18:19.99583
214,"Kelly, Trent",Mississippi,01,R,(202) 225-4306,Agriculture|Armed Services|Intelligence,https://trentkelly.house.gov/,2025-03-13 10:18:19.996626
215,"Kennedy, Mike",Utah,03,R,(202) 225-7751,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://mikekennedy.house.gov/,2025-03-13 10:18:19.997655
216,"Kennedy, Timothy",New York,26,D,(202) 225-3306,Homeland Security|Veterans' Affairs,https://kennedy.house.gov/,2025-03-13 10:18:19.998524
217,"Khanna, Ro",California,17,D,(202) 225-2631,Armed Services|Oversight and Government Reform|Select Comm on the Strategic Competition US and China,https://khanna.house.gov/,2025-03-13 10:18:19.999556
218,"Kiggans, Jennifer",Virginia,02,R,(202) 225-4215,Armed Services|Natural Resources|Veterans' Affairs,https://kiggans.house.gov/,2025-03-13 10:18:20.000552
219,"Kiley, Kevin",California,03,R,(202) 225-2523,Education and Workforce|Judiciary|Transportation and Infrastructure,https://kiley.house.gov/,2025-03-13 10:18:20.001715
220,"Kim, Young",California,40,R,(202) 225-4111,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China,https://youngkim.house.gov/,2025-03-13 10:18:20.002501
221,"King-Hinds, Kimberlyn",Northern Mariana Islands Delegate,At Large,R,(202) 225-2646,Transportation and Infrastructure|Small Business|Veterans' Affairs,https://king-hinds.house.gov/,2025-03-13 10:18:20.003282
222,"Knott, Brad",North Carolina,13,R,(202) 225-4531,Homeland Security|Judiciary|Transportation and Infrastructure,https://knott.house.gov/,2025-03-13 10:18:20.004105
223,"Krishnamoorthi, Raja",Illinois,08,D,(202) 225-3711,Oversight and Government Reform|Intelligence|Select Comm on the Strategic Competition US and China,https://krishnamoorthi.house.gov/,2025-03-13 10:18:20.004903
224,"Kustoff, David",Tennessee,08,R,(202) 225-4714,Ways and Means,https://kustoff.house.gov/,2025-03-13 10:18:20.005738
225,"LaHood, Darin",Illinois,16,R,(202) 225-6201,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China,https://lahood.house.gov/,2025-03-13 10:18:20.006539
226,"LaLota, Nick",New York,01,R,(202) 225-3826,Appropriations|Small Business,https://lalota.house.gov/,2025-03-13 10:18:20.007391
227,"LaMalfa, Doug",California,01,R,(202) 225-3076,Agriculture|Natural Resources|Transportation and Infrastructure,https://lamalfa.house.gov/,2025-03-13 10:18:20.008278
228,"Landsman, Greg",Ohio,01,D,(202) 225-2216,Energy and Commerce,https://landsman.house.gov/,2025-03-13 10:18:20.009113
229,"Langworthy, Nicholas",New York,23,R,(202) 225-3161,Oversight and Government Reform|Energy and Commerce|Rules,https://langworthy.house.gov/,2025-03-13 10:18:20.009926
230,"Larsen, Rick",Washington,02,D,(202) 225-2605,Transportation and Infrastructure,https://larsen.house.gov/,2025-03-13 10:18:20.010755
231,"Larson, John",Connecticut,01,D,(202) 225-2265,Ways and Means,https://larson.house.gov/,2025-03-13 10:18:20.011531
232,"Latimer, George",New York,16,D,(202) 225-2464,Foreign Affairs|Small Business,https://latimer.house.gov/,2025-03-13 10:18:20.012892
233,"Latta, Robert",Ohio,05,R,(202) 225-6405,Energy and Commerce,https://latta.house.gov/,2025-03-13 10:18:20.013706
234,"Lawler, Michael",New York,17,R,(202) 225-6506,Financial Services|Foreign Affairs,https://lawler.house.gov/,2025-03-13 10:18:20.01465
235,"Lee, Laurel",Florida,15,R,(202) 225-5626,House Administration|Energy and Commerce|Judiciary,https://laurellee.house.gov/,2025-03-13 10:18:20.015558
236,"Lee, Summer",Pennsylvania,12,D,(202) 225-2135,Education and Workforce|Oversight and Government Reform,https://summerlee.house.gov/,2025-03-13 10:18:20.016487
237,"Lee, Susie",Nevada,03,D,(202) 225-3252,Appropriations,https://susielee.house.gov/,2025-03-13 10:18:20.017289
238,"Leger Fernandez, Teresa",New Mexico,03,D,(202) 225-6190,Natural Resources|Rules,https://fernandez.house.gov/,2025-03-13 10:18:20.018189
239,"Letlow, Julia",Louisiana,05,R,(202) 225-8490,Appropriations|Education and Workforce,https://letlow.house.gov/,2025-03-13 10:18:20.019015
240,"Levin, Mike",California,49,D,(202) 225-3906,Appropriations,https://levin.house.gov/,2025-03-13 10:18:20.019873
241,"Liccardo, Sam",California,16,D,(202) 225-8104,Financial Services,https://liccardo.house.gov/,2025-03-13 10:18:20.020662
242,"Lieu, Ted",California,36,D,(202) 225-3976,Foreign Affairs|Judiciary,https://lieu.house.gov/,2025-03-13 10:18:20.021493
243,"Lofgren, Zoe",California,18,D,(202) 225-3072,"Judiciary|Science, Space, and Technology",https://lofgren.house.gov/,2025-03-13 10:18:20.022315
244,"Loudermilk, Barry",Georgia,11,R,(202) 225-2931,Financial Services|House Administration,https://loudermilk.house.gov/,2025-03-13 10:18:20.023111
245,"Lucas, Frank",Oklahoma,03,R,(202) 225-5565,Agriculture|Financial Services,https://lucas.house.gov/,2025-03-13 10:18:20.023948
246,"Luna, Anna Paulina",Florida,13,R,(202) 225-5961,Foreign Affairs|Oversight and Government Reform,https://luna.house.gov/,2025-03-13 10:18:20.024775
247,"Luttrell, Morgan",Texas,08,R,(202) 225-4901,Armed Services|Homeland Security|Veterans' Affairs,https://luttrell.house.gov/,2025-03-13 10:18:20.025546
248,"Lynch, Stephen",Massachusetts,08,D,(202) 225-8273,Financial Services|Oversight and Government Reform,https://lynch.house.gov/,2025-03-13 10:18:20.026408
249,"Mace, Nancy",South Carolina,01,R,(202) 225-3176,Armed Services|Oversight and Government Reform|Veterans' Affairs,https://mace.house.gov/,2025-03-13 10:18:20.027369
250,"Mackenzie, Ryan",Pennsylvania,07,R,(202) 225-6411,Education and Workforce|Foreign Affairs|Homeland Security,https://mackenzie.house.gov/,2025-03-13 10:18:20.028255
251,"Magaziner, Seth",Rhode Island,02,D,(202) 225-2735,Homeland Security|Natural Resources,https://magaziner.house.gov/,2025-03-13 10:18:20.029081
252,"Malliotakis, Nicole",New York,11,R,(202) 225-3371,Ways and Means,https://malliotakis.house.gov/,2025-03-13 10:18:20.029991
253,"Maloy, Celeste",Utah,02,R,(202) 225-9730,Appropriations|Natural Resources,https://maloy.house.gov/,2025-03-13 10:18:20.030882
254,"Mann, Tracey",Kansas,01,R,(202) 225-2715,Agriculture|Transportation and Infrastructure,https://mann.house.gov/,2025-03-13 10:18:20.031727
255,"Mannion, John",New York,22,D,(202) 225-3701,Agriculture|Education and Workforce,https://mannion.house.gov/,2025-03-13 10:18:20.032599
256,"Massie, Thomas",Kentucky,04,R,(202) 225-3465,Judiciary|Transportation and Infrastructure,https://massie.house.gov/,2025-03-13 10:18:20.033467
257,"Mast, Brian",Florida,21,R,(202) 225-3026,Foreign Affairs|Transportation and Infrastructure,https://mast.house.gov/,2025-03-13 10:18:20.034233
258,"Matsui, Doris",California,07,D,(202) 225-7163,Energy and Commerce,https://matsui.house.gov/,2025-03-13 10:18:20.035008
259,"McBath, Lucy",Georgia,06,D,(202) 225-4501,Education and Workforce|Judiciary,https://mcbath.house.gov/,2025-03-13 10:18:20.035832
260,"McBride, Sarah",Delaware,At Large,D,(202) 225-4165,"Foreign Affairs|Science, Space, and Technology",https://mcbride.house.gov/,2025-03-13 10:18:20.036657
261,"McCaul, Michael",Texas,10,R,(202) 225-2401,Foreign Affairs|Homeland Security,https://mccaul.house.gov/,2025-03-13 10:18:20.037494
262,"McClain, Lisa",Michigan,09,R,(202) 225-2106,Financial Services|Education and Workforce,https://mcclain.house.gov/,2025-03-13 10:18:20.038389
263,"McClain Delaney, April",Maryland,06,D,(202) 225-2721,"Agriculture|Science, Space, and Technology",https://mcclaindelaney.house.gov/,2025-03-13 10:18:20.039215
264,"McClellan, Jennifer",Virginia,04,D,(202) 225-6365,Energy and Commerce,https://mcclellan.house.gov/,2025-03-13 10:18:20.040035
265,"McClintock, Tom",California,05,R,(202) 225-2511,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/,2025-03-13 10:18:20.040854
266,"McCollum, Betty",Minnesota,04,D,(202) 225-6631,Appropriations,https://mccollum.house.gov/,2025-03-13 10:18:20.041956
267,"McCormick, Richard",Georgia,07,R,(202) 225-4272,"Armed Services|Science, Space, and Technology",https://mccormick.house.gov/,2025-03-13 10:18:20.042864
268,"McDonald Rivet, Kristen",Michigan,08,D,(202) 225-3611,Agriculture|Transportation and Infrastructure,https://mcdonaldrivet.house.gov/,2025-03-13 10:18:20.043669
269,"McDowell, Addison",North Carolina,06,R,(202) 225-3065,Budget|Natural Resources|Transportation and Infrastructure,https://mcdowell.house.gov/,2025-03-13 10:18:20.044447
270,"McGarvey, Morgan",Kentucky,03,D,(202) 225-5401,Budget|Small Business|Veterans' Affairs,https://mcgarvey.house.gov/,2025-03-13 10:18:20.045277
271,"McGovern, James",Massachusetts,02,D,(202) 225-6101,Agriculture|Rules,https://mcgovern.house.gov/,2025-03-13 10:18:20.046145
272,"McGuire, John",Virginia,05,R,(202) 225-4711,Armed Services|Oversight and Government Reform,https://mcguire.house.gov/,2025-03-13 10:18:20.047251
273,"McIver, LaMonica",New Jersey,10,D,(202) 225-3436,Homeland Security|Small Business,https://mciver.house.gov/,2025-03-13 10:18:20.048063
274,"Meeks, Gregory",New York,05,D,(202) 225-3461,Financial Services|Foreign Affairs,https://meeks.house.gov/,2025-03-13 10:18:20.049173
275,"Menendez, Robert",New Jersey,08,D,(202) 225-7919,Energy and Commerce,https://menendez.house.gov/,2025-03-13 10:18:20.050038
276,"Meng, Grace",New York,06,D,(202) 225-2601,Appropriations,https://meng.house.gov/,2025-03-13 10:18:20.050862
277,"Messmer, Mark",Indiana,08,R,(202) 225-4636,Agriculture|Armed Services|Education and Workforce,https://messmer.house.gov/,2025-03-13 10:18:20.051698
278,"Meuser, Daniel",Pennsylvania,09,R,(202) 225-6511,Financial Services|Small Business,https://meuser.house.gov/,2025-03-13 10:18:20.052485
279,"Mfume, Kweisi",Maryland,07,D,(202) 225-4741,Foreign Affairs|Oversight and Government Reform,https://mfume.house.gov/,2025-03-13 10:18:20.053305
280,"Miller, Carol",West Virginia,01,R,(202) 225-3452,Ways and Means,https://miller.house.gov/,2025-03-13 10:18:20.054154
281,"Miller, Mary",Illinois,15,R,(202) 225-5271,Agriculture|Education and Workforce|House Administration,https://marymiller.house.gov/,2025-03-13 10:18:20.054973
282,"Miller, Max",Ohio,07,R,(202) 225-3876,"Science, Space, and Technology|Ways and Means",https://maxmiller.house.gov/,2025-03-13 10:18:20.055951
283,"Miller-Meeks, Mariannette",Iowa,01,R,(202) 225-6576,Energy and Commerce|Veterans' Affairs,https://millermeeks.house.gov/,2025-03-13 10:18:20.05681
284,"Mills, Cory",Florida,07,R,(202) 225-4035,Armed Services|Foreign Affairs,https://mills.house.gov/,2025-03-13 10:18:20.057683
285,"Min, Dave",California,47,D,(202) 225-5611,Oversight and Government Reform|Natural Resources,https://min.house.gov/,2025-03-13 10:18:20.058511
286,"Moolenaar, John",Michigan,02,R,(202) 225-3561,Appropriations|Select Comm on the Strategic Competition US and China,https://moolenaar.house.gov/,2025-03-13 10:18:20.059286
287,"Moore, Barry",Alabama,01,R,(202) 225-2901,Agriculture|Judiciary,https://barrymoore.house.gov/,2025-03-13 10:18:20.060104
288,"Moore, Blake",Utah,01,R,(202) 225-0453,Budget|Ways and Means,https://blakemoore.house.gov/,2025-03-13 10:18:20.060935
289,"Moore, Gwen",Wisconsin,04,D,(202) 225-4572,Ways and Means,https://gwenmoore.house.gov/,2025-03-13 10:18:20.061736
290,"Moore, Riley",West Virginia,02,R,(202) 225-2711,Appropriations,https://rileymoore.house.gov/,2025-03-13 10:18:20.062569
291,"Moore, Tim",North Carolina,14,R,(202) 225-5634,Financial Services|Budget,https://timmoore.house.gov/,2025-03-13 10:18:20.06348
292,"Moran, Nathaniel",Texas,01,R,(202) 225-3035,Ways and Means|Select Comm on the Strategic Competition US and China,https://moran.house.gov/,2025-03-13 10:18:20.064429
293,"Morelle, Joseph",New York,25,D,(202) 225-3615,Appropriations|House Administration,https://morelle.house.gov/,2025-03-13 10:18:20.065648
294,"Morrison, Kelly",Minnesota,03,D,(202) 225-2871,Small Business|Veterans' Affairs,https://morrison.house.gov/,2025-03-13 10:18:20.066468
295,"Moskowitz, Jared",Florida,23,D,(202) 225-3001,Foreign Affairs|Judiciary,https://moskowitz.house.gov/,2025-03-13 10:18:20.067308
296,"Moulton, Seth",Massachusetts,06,D,(202) 225-8020,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://moulton.house.gov/,2025-03-13 10:18:20.068145
297,"Moylan, James",Guam Delegate,At Large,R,(202) 225-1188,Armed Services|Education and Workforce|Foreign Affairs,https://moylan.house.gov/,2025-03-13 10:18:20.068991
298,"Mrvan, Frank",Indiana,01,D,(202) 225-2461,Appropriations,https://mrvan.house.gov/,2025-03-13 10:18:20.069808
299,"Mullin, Kevin",California,15,D,(202) 225-3531,Energy and Commerce,https://kevinmullin.house.gov/,2025-03-13 10:18:20.070817
300,"Murphy, Gregory",North Carolina,03,R,(202) 225-3415,House Administration|Veterans' Affairs|Ways and Means,https://murphy.house.gov/,2025-03-13 10:18:20.071706
301,"Nadler, Jerrold",New York,12,D,(202) 225-5635,Judiciary|Transportation and Infrastructure,https://nadler.house.gov/,2025-03-13 10:18:20.07252
302,"Neal, Richard",Massachusetts,01,D,(202) 225-5601,Joint Committee on Taxation|Ways and Means,https://neal.house.gov/,2025-03-13 10:18:20.073336
303,"Neguse, Joe",Colorado,02,D,(202) 225-2161,Natural Resources|Judiciary|Rules,https://neguse.house.gov/,2025-03-13 10:18:20.074171
304,"Nehls, Troy",Texas,22,R,(202) 225-5951,Judiciary|Transportation and Infrastructure,https://nehls.house.gov/,2025-03-13 10:18:20.074971
305,"Newhouse, Dan",Washington,04,R,(202) 225-5816,Agriculture|Appropriations|Select Comm on the Strategic Competition US and China,https://newhouse.house.gov/,2025-03-13 10:18:20.075816
306,"Norcross, Donald",New Jersey,01,D,(202) 225-6501,Armed Services|Education and Workforce,https://norcross.house.gov/,2025-03-13 10:18:20.076621
307,"Norman, Ralph",South Carolina,05,R,(202) 225-5501,Financial Services|Budget|Rules,https://norman.house.gov/,2025-03-13 10:18:20.077491
308,"Norton, Eleanor",District of Columbia Delegate,At Large,D,(202) 225-8050,Oversight and Government Reform|Transportation and Infrastructure,https://norton.house.gov/,2025-03-13 10:18:20.078402
309,"Nunn, Zachary",Iowa,03,R,(202) 225-5476,Agriculture|Financial Services|Select Comm on the Strategic Competition US and China,https://nunn.house.gov/,2025-03-13 10:18:20.079167
310,"Obernolte, Jay",California,23,R,(202) 225-5861,"Budget|Energy and Commerce|Science, Space, and Technology",https://obernolte.house.gov/,2025-03-13 10:18:20.080083
311,"Ocasio-Cortez, Alexandria",New York,14,D,(202) 225-3965,Energy and Commerce,https://ocasio-cortez.house.gov/,2025-03-13 10:18:20.080997
312,"Ogles, Andrew",Tennessee,05,R,(202) 225-4311,Financial Services|Homeland Security,https://ogles.house.gov/,2025-03-13 10:18:20.08195
313,"Olszewski, Johnny",Maryland,02,D,(202) 225-3061,Foreign Affairs|Small Business,https://olszewski.house.gov/,2025-03-13 10:18:20.082832
314,"Omar, Ilhan",Minnesota,05,D,(202) 225-4755,Budget|Education and Workforce,https://omar.house.gov/,2025-03-13 10:18:20.083663
315,"Onder, Robert",Missouri,03,R,(202) 225-2956,Education and Workforce|Judiciary|Transportation and Infrastructure,https://onder.house.gov/,2025-03-13 10:18:20.084768
316,"Owens, Burgess",Utah,04,R,(202) 225-3011,Education and Workforce|Transportation and Infrastructure,https://owens.house.gov/,2025-03-13 10:18:20.085791
317,"Pallone, Frank",New Jersey,06,D,(202) 225-4671,Energy and Commerce,https://pallone.house.gov/,2025-03-13 10:18:20.086579
318,"Palmer, Gary",Alabama,06,R,(202) 225-4921,Oversight and Government Reform|Energy and Commerce,https://palmer.house.gov/,2025-03-13 10:18:20.087442
319,"Panetta, Jimmy",California,19,D,(202) 225-2861,Budget|Ways and Means,https://panetta.house.gov/,2025-03-13 10:18:20.088312
320,"Pappas, Chris",New Hampshire,01,D,(202) 225-5456,Transportation and Infrastructure|Veterans' Affairs,https://pappas.house.gov/,2025-03-13 10:18:20.089123
321,"Pelosi, Nancy",California,11,D,(202) 225-4965,"",https://pelosi.house.gov/,2025-03-13 10:18:20.089925
322,"Perez, Marie",Washington,03,D,(202) 225-3536,Appropriations,https://gluesenkampperez.house.gov/,2025-03-13 10:18:20.090732
323,"Perry, Scott",Pennsylvania,10,R,(202) 225-5836,Foreign Affairs|Oversight and Government Reform|Intelligence|Transportation and Infrastructure,https://perry.house.gov/,2025-03-13 10:18:20.091562
324,"Peters, Scott",California,50,D,(202) 225-0508,Budget|Energy and Commerce,https://scottpeters.house.gov/,2025-03-13 10:18:20.092381
325,"Pettersen, Brittany",Colorado,07,D,(202) 225-2645,Financial Services,https://pettersen.house.gov/,2025-03-13 10:18:20.093209
326,"Pfluger, August",Texas,11,R,(202) 225-3605,Homeland Security|Energy and Commerce,https://pfluger.house.gov/,2025-03-13 10:18:20.09409
327,"Pingree, Chellie",Maine,01,D,(202) 225-6116,Appropriations,https://pingree.house.gov/,2025-03-13 10:18:20.094916
328,"Plaskett, Stacey",Virgin Islands Delegate,At Large,D,(202) 225-1790,Budget|Intelligence|Ways and Means,https://plaskett.house.gov/,2025-03-13 10:18:20.095717
329,"Pocan, Mark",Wisconsin,02,D,(202) 225-2906,Appropriations,https://pocan.house.gov/,2025-03-13 10:18:20.09737
330,"Pou, Nellie",New Jersey,09,D,(202) 225-5751,Homeland Security|Transportation and Infrastructure,https://pou.house.gov/,2025-03-13 10:18:20.098424
331,"Pressley, Ayanna",Massachusetts,07,D,(202) 225-5111,Financial Services|Oversight and Government Reform,https://pressley.house.gov/,2025-03-13 10:18:20.099516
332,"Quigley, Mike",Illinois,05,D,(202) 225-4061,Appropriations|Intelligence,https://quigley.house.gov/,2025-03-13 10:18:20.100325
333,"Radewagen, Aumua Amata",American Samoa Delegate,At Large,R,(202) 225-8577,Foreign Affairs|Natural Resources|Veterans' Affairs,https://radewagen.house.gov/,2025-03-13 10:18:20.101131
334,"Ramirez, Delia",Illinois,03,D,(202) 225-5701,Homeland Security|Veterans' Affairs,https://ramirez.house.gov/,2025-03-13 10:18:20.101944
335,"Randall, Emily",Washington,06,D,(202) 225-5916,Oversight and Government Reform|Natural Resources,https://randall.house.gov/,2025-03-13 10:18:20.102715
336,"Raskin, Jamie",Maryland,08,D,(202) 225-5341,Judiciary,https://raskin.house.gov/,2025-03-13 10:18:20.103505
337,"Reschenthaler, Guy",Pennsylvania,14,R,(202) 225-2065,Appropriations,https://reschenthaler.house.gov/,2025-03-13 10:18:20.104305
338,"Riley, Josh",New York,19,D,(202) 225-5441,"Agriculture|Science, Space, and Technology",https://riley.house.gov/,2025-03-13 10:18:20.105118
339,"Rivas, Luz",California,29,D,(202) 225-6131,"Natural Resources|Science, Space, and Technology",https://rivas.house.gov/,2025-03-13 10:18:20.105944
340,"Rogers, Harold",Kentucky,05,R,(202) 225-4601,Appropriations,https://halrogers.house.gov/,2025-03-13 10:18:20.106752
341,"Rogers, Mike",Alabama,03,R,(202) 225-3261,Armed Services,https://mikerogers.house.gov/,2025-03-13 10:18:20.107698
342,"Rose, John",Tennessee,06,R,(202) 225-4231,Agriculture|Financial Services,https://johnrose.house.gov/,2025-03-13 10:18:20.108536
343,"Ross, Deborah",North Carolina,02,D,(202) 225-3032,"Judiciary|Science, Space, and Technology",https://ross.house.gov/,2025-03-13 10:18:20.109428
344,"Rouzer, David",North Carolina,07,R,(202) 225-2731,"Agriculture|Transportation and Infrastructure|Science, Space, and Technology",https://rouzer.house.gov/,2025-03-13 10:18:20.110244
345,"Roy, Chip",Texas,21,R,(202) 225-4236,Budget|Judiciary|Rules,https://roy.house.gov/,2025-03-13 10:18:20.111048
346,"Ruiz, Raul",California,25,D,(202) 225-5330,Energy and Commerce,https://ruiz.house.gov/,2025-03-13 10:18:20.11195
347,"Rulli, Michael A.",Ohio,06,R,(202) 225-5705,Education and Workforce|Energy and Commerce,https://rulli.house.gov/,2025-03-13 10:18:20.112981
348,"Rutherford, John",Florida,05,R,(202) 225-2501,Appropriations,https://rutherford.house.gov/,2025-03-13 10:18:20.114127
349,"Ryan, Patrick",New York,18,D,(202) 225-5614,Armed Services|Transportation and Infrastructure,https://patryan.house.gov/,2025-03-13 10:18:20.114935
350,"Salazar, Maria",Florida,27,R,(202) 225-3931,Financial Services|Foreign Affairs,https://salazar.house.gov/,2025-03-13 10:18:20.115731
351,"Salinas, Andrea",Oregon,06,D,(202) 225-5643,"Agriculture|Science, Space, and Technology",https://salinas.house.gov/,2025-03-13 10:18:20.116542
352,"Sanchez, Linda",California,38,D,(202) 225-6676,Ways and Means,https://lindasanchez.house.gov/,2025-03-13 10:18:20.117351
353,"Scalise, Steve",Louisiana,01,R,(202) 225-3015,"",https://scalise.house.gov/,2025-03-13 10:18:20.118183
354,"Scanlon, Mary Gay",Pennsylvania,05,D,(202) 225-2011,Judiciary|Rules,https://scanlon.house.gov/,2025-03-13 10:18:20.118994
355,"Schakowsky, Janice",Illinois,09,D,(202) 225-2111,Energy and Commerce,https://schakowsky.house.gov/,2025-03-13 10:18:20.119773
356,"Schmidt, Derek",Kansas,02,R,(202) 225-6601,Armed Services|Judiciary|Small Business,https://schmidt.house.gov/,2025-03-13 10:18:20.120558
357,"Schneider, Bradley",Illinois,10,D,(202) 225-4835,Ways and Means,https://schneider.house.gov/,2025-03-13 10:18:20.121398
358,"Scholten, Hillary",Michigan,03,D,(202) 225-3831,Transportation and Infrastructure|Small Business,https://scholten.house.gov/,2025-03-13 10:18:20.1222
359,"Schrier, Kim",Washington,08,D,(202) 225-7761,Energy and Commerce,https://schrier.house.gov/,2025-03-13 10:18:20.123076
360,"Schweikert, David",Arizona,01,R,(202) 225-2190,Ways and Means,https://schweikert.house.gov/,2025-03-13 10:18:20.123895
361,"Scott, Austin",Georgia,08,R,(202) 225-6531,Agriculture|Armed Services|Intelligence|Rules,https://austinscott.house.gov/,2025-03-13 10:18:20.124679
362,"Scott, David",Georgia,13,D,(202) 225-2939,Agriculture|Financial Services,https://davidscott.house.gov/,2025-03-13 10:18:20.125516
363,"Scott, Robert",Virginia,03,D,(202) 225-8351,Budget|Education and Workforce,https://bobbyscott.house.gov/,2025-03-13 10:18:20.126328
364,"Self, Keith",Texas,03,R,(202) 225-4201,"Foreign Affairs|Science, Space, and Technology|Veterans' Affairs",https://keithself.house.gov/,2025-03-13 10:18:20.127102
365,"Sessions, Pete",Texas,17,R,(202) 225-6105,Financial Services|Oversight and Government Reform,https://sessions.house.gov/,2025-03-13 10:18:20.128223
366,"Sewell, Terri",Alabama,07,D,(202) 225-2665,House Administration|Ways and Means,https://sewell.house.gov/,2025-03-13 10:18:20.129104
367,"Sherman, Brad",California,32,D,(202) 225-5911,Financial Services|Foreign Affairs,https://sherman.house.gov/,2025-03-13 10:18:20.130124
368,"Sherrill, Mikie",New Jersey,11,D,(202) 225-5034,Armed Services|Select Comm on the Strategic Competition US and China,https://sherrill.house.gov/,2025-03-13 10:18:20.130978
369,"Shreve, Jefferson",Indiana,06,R,(202) 225-3021,Foreign Affairs|Transportation and Infrastructure,https://shreve.house.gov/,2025-03-13 10:18:20.131828
370,"Simon, Lateefah",California,12,D,(202) 225-2661,Oversight and Government Reform|Small Business,https://simon.house.gov/,2025-03-13 10:18:20.132706
372,"Smith, Adam",Washington,09,D,(202) 225-8901,Armed Services,https://adamsmith.house.gov/,2025-03-13 10:18:20.134303
373,"Smith, Adrian",Nebraska,03,R,(202) 225-6435,Joint Committee on Taxation|Ways and Means,https://adriansmith.house.gov/,2025-03-13 10:18:20.135168
374,"Smith, Christopher",New Jersey,04,R,(202) 225-3765,Foreign Affairs,https://chrissmith.house.gov/,2025-03-13 10:18:20.135985
